"","name","rank","region","team","affiliate","s","age","height","weight","fran","helen","grace","filthy50","fgb","sprint400","run5k","cj","snatch","dl","bs","mpu","name.1","rank.1","region.1","team.1","affiliate.1","s.1","age.1","height.1","weight.1","fran.1","helen.1","grace.1","filthy50.1","fgb.1","sprint400.1","run5k.1","cj.1","snatch.1","dl.1","bs.1","mpu.1","name.2","rank.2","region.2","team.2","affiliate.2","s.2","age.2","height.2","weight.2","fran.2","helen.2","grace.2","filthy50.2","fgb.2","sprint400.2","run5k.2","cj.2","snatch.2","dl.2","bs.2","mpu.2","name.3","rank.3","region.3","team.3","affiliate.3","s.3","age.3","height.3","weight.3","fran.3","helen.3","grace.3","filthy50.3","fgb.3","sprint400.3","run5k.3","cj.3","snatch.3","dl.3","bs.3","mpu.3"
"21","Athlete: Garry Martin II","21 (462)","North Central","none","none","Male","32","6'0""","190 lb","2:16","6:50","1:18","0:00","481","0:49","16:40","270 lb","205 lb","505 lb","355 lb","65","Athlete: Craig Kenney","81 (1491)","North East","none","Branford CrossFit","Male","26","6'0""","200 lb","2:42","7:30","1:40","15:28","460","--","--","325 lb","265 lb","475 lb","425 lb","--","Athlete: Gerry Raymond","141 (1989)","South East","Gardens CrossFit","Gardens CrossFit","Male","24","6'0""","192 lb","--","7:40","1:47","--","--","--","--","275 lb","225 lb","465 lb","365 lb","65","Athlete: Zack Williams","201 (2474)","Australia","none","CrossFit Ironskull","Male","30","183 cm","85 lb","2:23","0:00","0:00","0:00","--","52:00","0:00","140 kg","110 kg","240 kg","200 kg","60"
"22","Athlete: Rob Forte","22 (477)","Australia","Reebok CrossFit Frankston","Reebok CrossFit Frankston","Male","26","174 cm","87 kg","2:28","7:21","1:26","16:41","472","0:59","18:50","142 kg","112 kg","210 kg","180 kg","50","Athlete: Drew Hymer","82 (1498)","North Central","CrossFit OKC","CrossFit OKC","Male","26","6'0""","220 lb","2:22","7:26","1:24","17:32","480","1:04","21:59","300 lb","245 lb","615 lb","560 lb","57","Athlete: Armand McCormick","142 (1990)","North Central","CrossFit Kilo","CrossFit Kilo","Male","31","5'10""","190 lb","2:15","--","1:24","18:06","425","0:58","--","142 kg","115 kg","235 kg","190 kg","50","Athlete: Dirty Alvarez","202 (2487)","Northern California","CrossFit Kailua","CrossFit Kailua","Male","23","5'8""","160 lb","2:35","7:15","2:58","14:44","441","0:59","17:30","275 lb","235 lb","450 lb","370 lb","65"
"23","Athlete: Wes Piatt","23 (486)","Southern California","none","CrossFit Inferno","Male","27","5'11""","190 lb","2:36","8:16","2:01","18:18","434","0:59","0:00","325 lb","245 lb","535 lb","415 lb","--","Athlete: Spencer Hendel","83 (1505)","North East","none","Reebok CrossFit Medfield","Male","24","6'2""","210 lb","2:27","7:30","1:30","17:40","447","1:01","20:32","350 lb","300 lb","550 lb","515 lb","62","Athlete: Teddy Hwang","143 (1992)","Southern California","Valley CrossFit","Valley CrossFit","Male","25","5'9""","195 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","310 lb","255 lb","450 lb","390 lb","0","Athlete: Wade Weldon","203 (2496)","South East","none","CrossFit AGX","Male","25","6'0""","195 lb","2:47","0:00","0:00","0:00","--","0:58","0:00","275 lb","235 lb","465 lb","400 lb","40"
"24","Athlete: Eric Carmody","24 (489)","South East","CrossFit Impulse Affiliate Team","CrossFit Impulse","Male","25","5'11""","210 lb","2:33","7:31","1:50","15:30","417","0:00","18:09","331 lb","260 lb","490 lb","455 lb","50","Athlete: Björgvin Karl Guðmundsson","84 (1516)","Europe","none","CrossFit Hengill","Male","20","178 cm","80 lb","2:23","0:00","2:00","0:00","--","0:00","19:20","130 kg","110 kg","210 kg","175 kg","65","Athlete: Rory Hanlin","144 (2004)","Mid Atlantic","Iron Forged CrossFit","Iron Forged CrossFit","Male","30","6'3""","225 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Justin VanBeek","204 (2498)","North Central","Crossfit Hydro","CrossFit Hydro","Male","30","6'0""","183 lb","2:28","7:08","1:38","18:00","410","1:05","19:45","286 lb","235 lb","440 lb","375 lb","52"
"25","Athlete: Frederik Aegidius","25 (498)","Europe","CrossFit Reykjavík","Reebok CrossFit Reykjavík","Male","25","174 cm","85 lb","2:27","8:00","1:40","17:50","0","1:07","22:20","130 kg","100 kg","200 kg","180 kg","30","Athlete: Tommy Pease","85 (1528)","Southern California","CrossFit Trifecta","CrossFit Trifecta","Male","35","5'7""","170 lb","2:28","0:00","2:01","0:00","0","0:00","0:00","285 lb","235 lb","425 lb","375 lb","65","Athlete: Chad Augustin","145 (2026)","Northern California","Rocklin CrossFit","Rocklin CrossFit","Male","39","5'7""","170 lb","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Patrick Fitzsimons","205 (2504)","Australia","CrossFit Active Artarmon","CrossFit Active Artarmon","Male","23","175 cm","80 kg","2:25","0:00","0:00","0:00","0","0:00","0:00","130 kg","107 kg","205 kg","175 kg","0"
"26","Athlete: Bill Grundler","26 (508)","Southern California","none","CrossFit Inferno","Male","44","6'0""","195 lb","2:14","7:12","0:00","0:00","440","1:04","0:00","285 lb","225 lb","455 lb","400 lb","56","Athlete: Nick Fory","86 (1542)","Central East","none","Mad City CrossFit","Male","26","5'10""","175 lb","2:18","0:00","1:39","0:00","436","1:02","18:34","275 lb","225 lb","480 lb","395 lb","70","Athlete: Steve Pinkerton","146 (2027)","Mid Atlantic","CrossFit Vitality","CrossFit Vitality","Male","32","6'5""","243 lb","2:31","7:31","1:35","15:48","471","1:00","21:05","345 lb","275 lb","510 lb","450 lb","62","Athlete: Shawn Butler","206 (2507)","Mid Atlantic","none","CrossFit FiveStar","Male","32","6'1""","202 lb","2:46","7:53","1:59","16:37","397","0:00","0:00","285 lb","245 lb","505 lb","435 lb","56"
"27","Athlete: Philip Bengtsson","27 (512)","Europe","CrossFit Malmö The Other guys","CrossFit Malmö","Male","26","181 cm","190 lb","2:12","6:52","1:26","15:50","488","0:54","17:23","130 kg","107 kg","250 kg","175 kg","65","Athlete: Pete Maxwell","87 (1563)","Australia","CrossFit Newcastle","CrossFit Newcastle","Male","34","181 cm","96 kg","2:40","7:40","1:35","--","--","--","18:00","130 kg","105 kg","250 kg","200 kg","40","Athlete: Stuart Trees","147 (2034)","Europe","CrossFit West Yorkshire","CrossFit West Yorkshire","Male","32","180 cm","86 lb","2:50","8:32","2:27","19:22","--","0:00","17:52","120 kg","92 kg","225 kg","175 kg","37","Athlete: Luke McGruer","207 (2520)","Australia","Mount CrossFit","Mount CrossFit","Male","30","179 cm","81 kg","2:23","0:00","0:00","0:00","0","1:00","20:00","127 kg","110 kg","200 kg","170 kg","70"
"28","Athlete: Ryan Fischer","28 (565)","Southern California","Orange Coast Crossfit White","Orange Coast CrossFit","Male","26","5'5""","175 lb","1:57","6:46","1:05","0:00","511","0:53","17:45","315 lb","270 lb","585 lb","500 lb","0","Athlete: Paul Tremblay","88 (1569)","Canada East","CrossFit NCR","CrossFit NCR","Male","26","5'10""","190 lb","2:20","--","1:48","--","--","--","--","325 lb","280 lb","530 lb","515 lb","48","Athlete: Kevin Simons","148 (2036)","North West","none","none","Male","25","5'7""","210 lb","2:09","0:00","1:11","0:00","0","1:02","0:00","345 lb","255 lb","545 lb","505 lb","0","Athlete: Lee Lyles","207 (2520)","South West","none","none","Male","32","5'10""","180 lb","2:29","7:27","1:40","--","--","--","--","295 lb","230 lb","470 lb","365 lb","--"
"29","Athlete: Garret Fisher","29 (602)","Northern California","NorCal CrossFit","NorCal CrossFit","Male","22","6'2""","210 lb","2:19","0:00","0:00","0:00","437","0:55","18:17","325 lb","265 lb","505 lb","425 lb","65","Athlete: Joshua Page","89 (1571)","North Central","Reckless CrossFit","Reckless CrossFit","Male","24","6'0""","208 lb","2:30","8:06","1:28","17:01","423","1:00","18:05","325 lb","265 lb","600 lb","475 lb","51","Athlete: Jeff Hart","149 (2043)","South East","Broward CrossFit","Broward CrossFIt","Male","24","5'7""","190 lb","2:11","7:41","1:34","0:00","425","0:56","19:48","300 lb","225 lb","565 lb","425 lb","--","Athlete: Nick Zambruno","209 (2551)","Northern California","CrossFit Oakdale","CrossFit Oakdale","Male","26","6'0""","185 lb","2:24","0:00","1:38","0:00","0","0:00","18:20","295 lb","225 lb","465 lb","365 lb","50"
"30","Athlete: David Millar","30 (678)","Northern California","CrossFit West","CrossFit West","Male","26","5'11""","185 lb","2:09","6:56","1:41","0:00","470","0:58","19:27","325 lb","245 lb","500 lb","415 lb","67","Athlete: Drew Bignall","90 (1572)","South Central","Mission CrossFit SA","Mission CrossFit San Antonio","Male","27","6'1""","215 lb","1:49","7:39","1:40","0:00","452","1:04","20:54","355 lb","275 lb","585 lb","525 lb","80","Athlete: Nathan Keil","150 (2048)","Mid Atlantic","none","CrossFit Altius","Male","24","6'0""","195 lb","2:25","--","2:10","--","--","--","21:32","265 lb","220 lb","465 lb","405 lb","60","Athlete: Alex Oberman","210 (2570)","Northern California","CrossFit 38ºN","CrossFit 38 Degrees North","Male","21","5'8""","170 lb","2:02","6:52","1:58","--","--","--","18:52","--","220 lb","425 lb","375 lb","86"
"31","Athlete: Ian Barnhouse","31 (707)","North Central","none","CrossFit Philia","Male","38","6'0""","202 lb","2:10","0:00","0:00","17:35","440","0:00","0:00","265 lb","215 lb","465 lb","--","62","Athlete: Chris Shimley","91 (1573)","Central East","none","Top Fuel CrossFit","Male","21","5'8""","195 lb","2:20","7:29","1:56","18:00","468","0:00","21:17","310 lb","235 lb","500 lb","475 lb","--","Athlete: Jared Stevens","151 (2069)","North Central","CrossFit 417","CrossFit 417","Male","28","6'0""","210 lb","2:04","7:58","1:14","18:42","408","0:00","23:33","335 lb","265 lb","500 lb","505 lb","50","Athlete: Matt Chan","211 (2574)","South West","none","CrossFit Verve","Male","35","5'10""","210 lb","2:19","7:44","1:16","17:44","425","1:00","21:58","341 lb","275 lb","545 lb","435 lb","50"
