"","name","rank","region","team","affiliate","s","age","height","weight","fran","helen","grace","filthy50","fgb","sprint400","run5k","cj","snatch","dl","bs","mpu","name.1","rank.1","region.1","team.1","affiliate.1","s.1","age.1","height.1","weight.1","fran.1","helen.1","grace.1","filthy50.1","fgb.1","sprint400.1","run5k.1","cj.1","snatch.1","dl.1","bs.1","mpu.1","name.2","rank.2","region.2","team.2","affiliate.2","s.2","age.2","height.2","weight.2","fran.2","helen.2","grace.2","filthy50.2","fgb.2","sprint400.2","run5k.2","cj.2","snatch.2","dl.2","bs.2","mpu.2","name.3","rank.3","region.3","team.3","affiliate.3","s.3","age.3","height.3","weight.3","fran.3","helen.3","grace.3","filthy50.3","fgb.3","sprint400.3","run5k.3","cj.3","snatch.3","dl.3","bs.3","mpu.3"
"32","Athlete: Chad Michael","32 (712)","Mid Atlantic","none","CrossFit ACF","Male","33","6'3""","215 lb","2:40","0:00","2:31","18:31","431","1:03","0:00","345 lb","245 lb","540 lb","500 lb","87","Athlete: Aaron James","92 (1582)","Australia","MANA","CrossFit Mana","Male","30","189 cm","98 lb","2:13","7:15","1:36","16:37","455","0:59","18:50","135 kg","100 kg","235 kg","188 kg","60","Athlete: Joe Kearney","152 (2073)","Mid Atlantic","CrossFit Lewisburg","CrossFit Lewisburg","Male","20","5'11""","170 lb","3:04","6:44","1:43","17:50","391","--","--","285 lb","235 lb","445 lb","340 lb","--","Athlete: Erik Fay","212 (2578)","Southern California","Team CFRC","CrossFit Rancho Cucamonga","Male","28","5'10""","195 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0"
"33","Athlete: Mike Mckenna","33 (751)","North East","CrossFit 914","CrossFit 914","Male","25","5'9""","175 lb","2:35","--","1:41","--","--","--","--","285 lb","235 lb","455 lb","385 lb","60","Athlete: Numi Katrinarson","93 (1587)","Europe","Team Reebok CrossFit Nordic","CrossFit Nordic","Male","33","181 cm","83 lb","2:15","6:56","1:53","15:45","399","--","--","125 kg","100 kg","190 kg","160 kg","55","Athlete: Christopher Guerrero","153 (2089)","North East","CrossFit Westchester","CrossFit Westchester","Male","28","6'0""","200 lb","2:29","0:00","0:00","15:27","413","0:00","19:07","275 lb","227 lb","505 lb","400 lb","55","Athlete: Ryan Smith","213 (2582)","North West","Big Sky CrossFit","Big Sky CrossFit","Male","27","5'11""","195 lb","2:34","7:48","1:48","0:00","406","0:00","0:00","265 lb","220 lb","445 lb","345 lb","60"
"34","Athlete: Pat Barber","34 (754)","Northern California","NorCal CrossFit","NorCal CrossFit","Male","27","5'7""","175 lb","2:15","7:21","1:47","15:18","465","0:59","21:24","315 lb","255 lb","483 lb","405 lb","65","Athlete: Mikko Aronpää","94 (1590)","Europe","none","CrossFit Tampere","Male","29","178 cm","89 kg","0:00","0:00","0:00","0:00","0","0:00","0:00","0 kg","0 kg","0 kg","0 kg","0","Athlete: Tory Morgan","154 (2102)","Southern California","CrossFit Code 3","CrossFit Code 3","Male","28","5'9""","200 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Luke Mullen","214 (2587)","South Central","CrossFit Richardson","CrossFit Richardson","Male","20","5'10""","178 lb","2:36","7:34","2:03","0:00","405","0:00","19:53","285 lb","235 lb","460 lb","405 lb","55"
"35","Athlete: Bobby Noyce","35 (797)","North Central","CrossFit 515","CrossFit 515","Male","24","6'1""","205 lb","2:08","6:30","1:40","12:56","503","0:56","17:46","300 lb","235 lb","525 lb","415 lb","89","Athlete: Josh Ingham","95 (1602)","South East","Crossfit Ragnarök","CrossFit Ragnarok","Male","26","6'1""","200 lb","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Nick Bloch","155 (2106)","North Central","none","CrossFit Fond du Lac","Male","27","6'0""","215 lb","2:20","7:12","1:03","17:23","--","1:00","20:00","320 lb","255 lb","620 lb","515 lb","50","Athlete: Dave Rabbett","215 (2588)","Central East","none","Black Flag CrossFit","Male","26","5'8""","185 lb","2:14","7:11","0:00","0:00","--","0:00","18:34","315 lb","255 lb","485 lb","425 lb","64"
"36","Athlete: Jason Leydon","36 (822)","North East","CrossFit Milford","CrossFit Milford","Male","33","6'1""","200 lb","2:25","6:59","--","--","455","0:53","--","255 lb","195 lb","480 lb","355 lb","53","Athlete: Peter D'Amore","96 (1603)","Canada East","CrossFit Select","CrossFit Select","Male","28","5'10""","195 lb","2:20","7:18","1:48","0:00","410","1:00","0:00","295 lb","225 lb","500 lb","425 lb","55","Athlete: David Charbonneau","156 (2112)","North East","Team Dynamix","CrossFit Dynamix","Male","27","5'10""","205 lb","2:16","8:02","0:00","0:00","437","0:00","21:13","355 lb","280 lb","585 lb","455 lb","60","Athlete: Jeremy Kinnick","216 (2600)","Southern California","Team Kinnick","CrossFit Kinnick","Male","33","5'10""","190 lb","2:20","7:30","1:36","16:57","473","1:07","20:16","300 lb","250 lb","495 lb","430 lb","65"
"37","Athlete: Albert-Dominic Larouche","37 (827)","Canada East","CrossFit Chambly","CrossFit Chambly","Male","23","5'10""","190 lb","2:41","7:55","1:50","15:40","425","0:00","19:50","315 lb","245 lb","500 lb","405 lb","50","Athlete: Adam Jamieson","97 (1623)","Northern California","CrossFit Fifty","CrossFit Fifty","Male","26","5'10""","200 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Duke Burk","157 (2123)","North Central","CrossFit 402","CrossFit 402","Male","26","5'10""","205 lb","2:39","8:14","1:21","--","358","1:05","21:30","335 lb","290 lb","505 lb","450 lb","40","Athlete: Cody Spell","217 (2604)","South Central","CrossFit Lake Charles South","Hurricane CrossFit","Male","22","6'0""","195 lb","2:07","7:54","1:29","15:57","447","0:00","0:00","300 lb","215 lb","565 lb","465 lb","50"
"38","Athlete: Sean Thomson","38 (836)","Mid Atlantic","Team DIE STRONG","CrossFit Go Hard","Male","27","5'7""","160 lb","1:53","7:10","1:27","17:33","415","0:52","17:49","310 lb","240 lb","510 lb","450 lb","75","Athlete: Kirk Bacsu","98 (1624)","Central East","none","CrossFit 317","Male","28","5'9""","180 lb","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Bryan McGilvray","158 (2128)","South East","none","none","Male","27","5'8""","185 lb","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Joel Dizona","218 (2606)","South East","Team CrossFit Valdosta","CrossFit Valdosta","Male","22","5'9""","195 lb","2:19","--","--","--","424","--","--","--","--","505 lb","415 lb","--"
"39","Athlete: Courtney Wuistinger","39 (851)","South Central","CrossFit BOLT","CrossFit Bolt","Male","31","6'4""","220 lb","2:18","6:57","1:17","0:00","487","0:59","0:00","355 lb","285 lb","605 lb","8 lb","53","Athlete: Michael Bodi","99 (1634)","North Central","none","CrossFit North Wall","Male","28","5'10""","195 lb","2:21","7:31","1:44","19:21","417","1:11","22:00","275 lb","225 lb","515 lb","395 lb","55","Athlete: Luke Reiland","159 (2150)","North Central","none","CrossFit 8035","Male","29","5'9""","190 lb","2:32","0:00","1:29","17:08","417","0:56","0:00","300 lb","215 lb","500 lb","360 lb","58","Athlete: Chase Ingraham","219 (2611)","South Central","Crossfit Dallas Central","CrossFit Dallas Central","Male","30","6'2""","200 lb","2:33","6:59","1:52","17:29","415","0:58","17:54","265 lb","220 lb","420 lb","385 lb","55"
"40","Athlete: Drew Shamblin","40 (864)","South East","none","CrossFit Tuscaloosa","Male","26","5'9""","165 lb","2:15","6:58","1:21","0:00","519","0:00","0:00","275 lb","225 lb","475 lb","365 lb","95","Athlete: Mark Stewart","100 (1636)","South Central","CrossFit Lake Charles South","Hurricane CrossFit","Male","27","6'1""","212 lb","2:27","8:04","1:24","0:00","433","1:05","21:42","320 lb","245 lb","535 lb","465 lb","35","Athlete: Matt Reilly","160 (2175)","Australia","Nepean CrossFit","Nepean CrossFit","Male","24","187 cm","100 lb","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Hudson Fricke","220 (2612)","South East","Southern Moon CrossFit","Southern Moon CrossFit","Male","24","6'1""","190 lb","2:34","--","--","--","--","--","--","--","235 lb","--","--","--"
"41","Athlete: James Hobart","41 (881)","North East","CFNE Team A","CrossFit New England","Male","26","5'8""","180 lb","2:30","7:55","--","18:15","432","--","--","325 lb","255 lb","480 lb","395 lb","58","Athlete: Jordan Wallace","101 (1650)","Europe","Reebok CrossFit Tyneside","Reebok CrossFit Tyneside","Male","20","165 cm","72 lb","2:27","7:15","2:10","16:58","423","1:10","19:47","116 kg","90 kg","200 kg","160 kg","56","Athlete: John Zvejnieks","161 (2187)","Mid Atlantic","none","Unaffiliated","Male","29","5'9""","195 lb","1:01","0:10","1:01","0:10","101","0:10","1:01","666 lb","666 lb","666 lb","666 lb","666","Athlete: Jesse Disch","221 (2627)","North West","none","none","Male","28","5'10""","200 lb","2:13","7:26","1:39","16:46","457","1:01","21:23","310 lb","240 lb","529 lb","445 lb","67"
"42","Athlete: Nick Urankar","42 (884)","Central East","CrossFit 061","CrossFit 061","Male","29","5'10""","190 lb","2:10","0:00","1:31","15:30","0","0:00","19:37","345 lb","275 lb","505 lb","465 lb","54","Athlete: Sam Dancer","102 (1657)","North Central","QTown CrossFit","Q-Town CrossFit","Male","26","5'11""","212 lb","2:10","7:30","1:13","18:13","--","0:00","23:00","365 lb","295 lb","615 lb","520 lb","55","Athlete: Kyle Sikes","162 (2197)","North East","none","CrossFit 207","Male","24","5'11""","200 lb","2:14","7:52","1:32","15:29","506","0:54","17:29","305 lb","255 lb","505 lb","420 lb","50","Athlete: Riki Gonzales","222 (2630)","Northern California","Morgan Hill Crossfit","Morgan Hill CrossFit","Male","27","5'0""","180 lb","--","--","--","--","--","--","--","--","--","--","--","--"
"43","Athlete: Graham Holmberg","43 (890)","Central East","CrossFit Grandview","CrossFit Grandview","Male","28","5'11""","195 lb","2:04","7:04","1:12","17:50","433","1:00","19:00","320 lb","260 lb","535 lb","415 lb","53","Athlete: Kurt Garceau","103 (1666)","North East","North Haven Crossfit","CrossFit North Haven","Male","25","5'10""","190 lb","2:17","0:00","1:34","0:00","451","0:00","0:00","325 lb","240 lb","540 lb","405 lb","60","Athlete: Ryan Hignell","162 (2197)","Northern California","North Rim CrossFit","North Rim CrossFit","Male","23","5'9""","165 lb","2:10","7:20","1:56","15:19","392","1:05","19:59","275 lb","235 lb","415 lb","340 lb","78","Athlete: Nick Martindale","223 (2641)","North West","Cascade CrossFit","Cascade CrossFit","Male","28","5'8""","168 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0"
"44","Athlete: Ben Stoneberg","44 (906)","North West","Intensify Team A","CrossFit Intensify","Male","26","5'7""","180 lb","2:10","7:06","1:46","15:05","486","0:57","19:00","305 lb","255 lb","490 lb","465 lb","56","Athlete: Gregory Mountain","104 (1683)","Southern California","LTP CrossFit","Live Train Play CrossFit","Male","29","5'6""","165 lb","2:06","0:00","0:00","0:00","425","0:00","0:00","290 lb","225 lb","465 lb","375 lb","70","Athlete: Steve Walters","164 (2208)","South East","CrossFit HardCore","CrossFit HardCore","Male","31","--","--","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Corey Paszkiewicz","223 (2641)","North Central","none","CrossFit Oak Creek","Male","31","5'11""","200 lb","2:21","0:00","0:00","0:00","--","0:00","0:00","275 lb","205 lb","470 lb","425 lb","--"
"45","Athlete: Eric Magee","45 (922)","North East","CrossFit Hingham","CrossFit Hingham","Male","29","5'11""","205 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Ben Wise","105 (1686)","Northern California","Diablo CrossFit Anejo","Diablo CrossFit","Male","25","6'1""","195 lb","0:00","7:35","1:30","17:03","376","0:57","0:00","308 lb","240 lb","455 lb","405 lb","42","Athlete: Mahdi Te Heuheu","165 (2212)","Australia","MANA","CrossFit Mana","Male","27","180 cm","93 kg","2:22","6:56","--","--","432","1:01","19:56","150 kg","130 kg","230 kg","205 kg","50","Athlete: Kevin Manuel","225 (2644)","Australia","CrossFit Hawkes Bay","CrossFit Hawkes Bay","Male","26","187 cm","89 kg","2:21","--","1:49","--","397","--","--","130 kg","112 kg","210 kg","180 kg","55"
"46","Athlete: Austin Malleolo","46 (957)","North East","Reebok CrossFit ONE Team A","Reebok CrossFit One","Male","26","5'5""","175 lb","2:11","6:56","1:47","14:05","470","0:59","20:21","325 lb","255 lb","570 lb","420 lb","65","Athlete: Gary Helmick","106 (1690)","Mid Atlantic","none","CrossFit Revamped","Male","25","5'10""","177 lb","2:23","0:00","2:00","0:00","411","0:00","0:00","295 lb","235 lb","500 lb","400 lb","60","Athlete: Steven Fawcett","166 (2255)","Europe","none","CrossFit JST","Male","25","173 cm","80 lb","2:20","6:50","1:40","0:00","0","0:00","19:00","140 kg","106 kg","200 kg","177 kg","45","Athlete: Thomas Hooton","226 (2651)","Mid Atlantic","Mountaineer CrossFit","Mountaineer CrossFit","Male","29","6'0""","190 lb","2:17","6:54","1:18","15:37","511","0:55","0:00","312 lb","245 lb","575 lb","475 lb","55"
"47","Athlete: Orlando Trejo","47 (996)","Latin America","none","CrossFit Reebok Peru","Male","25","162 cm","72 lb","2:16","0:00","0:00","0:00","0","0:00","20:00","152 kg","120 kg","210 kg","200 kg","0","Athlete: Alex Nettey","107 (1693)","North Central","CrossFit Chicago Black","CrossFit Chicago","Male","29","6'1""","205 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","300 lb","275 lb","0 lb","385 lb","0","Athlete: Ryan Calkins","167 (2257)","North West","Jet City","Jet City CrossFit","Male","36","6'0""","190 lb","2:48","7:57","1:55","20:46","410","0:00","20:00","255 lb","205 lb","515 lb","410 lb","58","Athlete: Geoff Turner","227 (2661)","South West","CrossFit Modig","CrossFit Modig","Male","38","5'8""","198 lb","2:12","8:10","0:00","15:07","456","0:55","0:00","305 lb","245 lb","500 lb","500 lb","40"
"48","Athlete: Jay Rhodes","48 (1019)","Canada East","Outlaw North","Outlaw CrossFit North","Male","29","5'10""","178 lb","2:26","7:00","1:49","15:26","449","0:48","19:25","320 lb","262 lb","505 lb","411 lb","61","Athlete: Bryan Miller","108 (1709)","North West","Team BCF","Beaverton CrossFit","Male","22","6'1""","200 lb","2:21","7:55","0:00","0:00","410","1:03","0:00","300 lb","245 lb","495 lb","430 lb","52","Athlete: David Borrelli","168 (2262)","Mid Atlantic","none","CrossFit Eternal","Male","24","5'9""","170 lb","2:47","7:41","2:18","15:23","427","0:00","0:00","300 lb","235 lb","475 lb","415 lb","56","Athlete: Will Zerlang","228 (2692)","Northern California","Humboldt CrossFit","Humboldt CrossFit","Male","33","5'10""","190 lb","3:10","8:00","2:24","18:00","422","1:15","19:46","265 lb","205 lb","425 lb","385 lb","52"
"49","Athlete: Elijah Muhammad","49 (1041)","South East","none","CrossFit Shoals","Male","25","6'0""","195 lb","2:26","--","--","--","--","--","--","335 lb","265 lb","525 lb","415 lb","--","Athlete: Guido Trinidad","109 (1711)","South East","Peak 360 CrossFit","Peak 360 CrossFit","Male","32","5'7""","184 lb","2:12","7:40","1:23","17:33","438","1:02","21:13","315 lb","245 lb","465 lb","415 lb","63","Athlete: Alex Rollin","169 (2273)","Northern California","NorCal CrossFit Redwood City","NorCal CrossFit Redwood City","Male","28","6'2""","205 lb","2:32","7:29","1:35","16:04","428","0:00","0:00","310 lb","235 lb","525 lb","450 lb","0","Athlete: Nuno Costa","229 (2695)","Southern California","Invictus","CrossFit Invictus","Male","34","5'9""","165 lb","2:16","7:02","2:37","--","426","0:47","17:55","275 lb","92 kg","451 lb","358 lb","70"
"50","Athlete: Chad Melton","50 (1074)","Southern California","Valley CrossFit","Valley CrossFit","Male","23","5'8""","205 lb","2:38","0:00","1:47","0:00","0","0:00","0:00","315 lb","275 lb","500 lb","425 lb","55","Athlete: James Newbury","110 (1715)","Australia","none","CrossFit Mode","Male","22","178 cm","83 lb","2:18","6:59","0:00","0:00","369","0:53","18:44","125 kg","100 kg","225 kg","170 kg","85","Athlete: Mike McGoldrick","170 (2278)","South Central","none","none","Male","26","5'11""","195 lb","0:00","0:00","0:00","0:00","--","0:00","0:00","--","--","--","--","--","Athlete: Chris Hogan","229 (2695)","Australia","CrossFit 121","CrossFit 121","Male","27","179 cm","90 lb","2:32","7:30","1:44","0:00","0","1:00","19:00","125 kg","110 kg","220 kg","177 kg","50"
"51","Athlete: Charles Felx Leduc","51 (1075)","Canada East","Reebok CrossFit YUL","CrossFit Reebok YUL","Male","25","5'10""","215 lb","2:16","6:53","1:16","18:50","467","0:57","21:47","330 lb","265 lb","540 lb","485 lb","57","Athlete: Dan Bosco","111 (1717)","Canada East","Windsor Crossfit","Windsor CrossFit","Male","25","5'8""","180 lb","2:21","7:55","1:54","14:53","492","0:00","22:00","280 lb","215 lb","500 lb","395 lb","0","Athlete: Jesse Haines","171 (2279)","South Central","none","CrossFit Rowlett","Male","30","5'9""","195 lb","2:36","7:36","1:28","19:31","0","1:05","23:00","290 lb","230 lb","475 lb","385 lb","55","Athlete: Will Moorad","231 (2703)","Central East","Team Talon","CrossFit Talon","Male","24","5'9""","175 lb","2:38","0:00","0:00","0:00","--","0:00","0:00","--","255 lb","--","--","--"
"52","Athlete: Brandon Swan","52 (1080)","Australia","CrossFit Western Front","CrossFit Western Front","Male","21","175 cm","87 kg","2:40","7:48","1:53","17:55","410","1:05","0:00","145 kg","124 kg","230 kg","200 kg","55","Athlete: Adrien Tapia","112 (1718)","South East","none","CrossFit Siege","Male","25","5'10""","195 lb","2:04","0:00","1:07","0:00","410","0:00","0:00","325 lb","265 lb","500 lb","455 lb","65","Athlete: Alex Gerszewski","172 (2292)","North Central","none","Edmond CrossFit","Male","27","6'1""","232 lb","2:31","0:00","0:00","0:00","449","0:00","22:22","300 lb","250 lb","575 lb","435 lb","50","Athlete: Jakob Magnússon","232 (2717)","Europe","Team CFH Iceland","CrossFit Hafnarfjordur","Male","24","175 cm","85 kg","3:21","8:45","2:23","17:23","377","0:00","21:40","120 kg","100 kg","192 kg","150 kg","50"
"53","Athlete: Brian Rottman","53 (1082)","South East","Be CrossFit","Be CrossFit","Male","24","5'8""","172 lb","2:32","--","2:19","--","--","--","--","275 lb","225 lb","450 lb","350 lb","--","Athlete: Chris Spealler","113 (1725)","South West","CrossFit Park City","CrossFit Park City","Male","34","5'5""","151 lb","2:08","6:56","1:44","13:18","456","1:03","19:32","285 lb","225 lb","420 lb","380 lb","106","Athlete: Derek French","173 (2296)","Central East","Evansville CrossFit","Evansville CrossFit","Male","27","5'7""","175 lb","2:28","8:13","1:51","19:10","0","0:00","19:39","305 lb","225 lb","440 lb","375 lb","0","Athlete: Chris Patterson","233 (2722)","South East","CrossFit Downtown Miami","CrossFit Downtown Miami","Male","24","5'7""","165 lb","2:47","7:59","1:45","0:00","--","0:55","20:20","255 lb","195 lb","525 lb","365 lb","60"
"54","Athlete: Dave Ulmer","54 (1086)","Central East","Fit Club","CrossFit 614","Male","30","5'11""","205 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Chris Walker","114 (1726)","Central East","CrossFit Maximus","CrossFit Maximus","Male","30","6'5""","220 lb","2:48","8:14","1:39","17:38","432","0:58","18:46","305 lb","255 lb","485 lb","385 lb","42","Athlete: Stefano Migliorini","174 (2311)","Europe","none","Reebok CrossFit Officine","Male","24","174 cm","80 kg","2:09","7:00","1:38","0:00","402","1:11","20:00","120 kg","105 kg","220 kg","225 kg","72","Athlete: Kevin Scholtz","234 (2735)","Central East","CTOWN CrossFit","CTown CrossFit","Male","19","5'6""","153 lb","1:58","0:00","2:21","0:00","--","1:03","20:50","275 lb","215 lb","435 lb","385 lb","55"
"55","Athlete: Adam Neiffer","55 (1090)","North West","CrossFit Fort Vancouver","CrossFit Fort Vancouver","Male","29","5'9""","180 lb","2:17","7:30","1:36","16:22","467","0:57","19:34","280 lb","226 lb","460 lb","415 lb","70","Athlete: Dan Goldberg","115 (1727)","North East","CrossFit Syracuse","CrossFit Syracuse","Male","30","5'11""","195 lb","2:25","7:31","1:45","16:15","401","1:01","20:45","295 lb","240 lb","520 lb","400 lb","65","Athlete: JT Dahlinger","174 (2311)","Mid Atlantic","RAW Training","CrossFit R.A.W.","Male","28","--","--","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Kieran Hogan","235 (2739)","Australia","Schwartzs CrossFit Melbourne","CrossFit Melbourne","Male","25","177 cm","84 kg","3:01","8:00","1:50","0:00","0","0:59","18:20","140 kg","115 kg","200 kg","180 kg","50"
"56","Athlete: Noah Ohlsen","56 (1141)","South East","Peak 360 CrossFit","Peak 360 CrossFit","Male","22","5'7""","178 lb","2:58","0:00","1:46","0:00","394","1:05","0:00","305 lb","225 lb","435 lb","375 lb","72","Athlete: Mark Cassibo","116 (1730)","Canada West","The CENTAURS","CrossFit Fraser Valley","Male","30","5'6""","177 lb","2:22","8:07","0:00","0:00","420","0:00","0:00","293 lb","216 lb","490 lb","405 lb","66","Athlete: David Lipson","176 (2313)","Southern California","Sea of Green","CrossFit Invictus","Male","30","6'0""","210 lb","2:25","7:12","1:00","15:00","450","1:00","18:45","325 lb","270 lb","651 lb","575 lb","50","Athlete: Mike Kluegel","236 (2745)","Northern California","Rocklin CrossFit","Rocklin CrossFit","Male","27","5'7""","180 lb","--","--","--","--","--","--","--","--","--","0 lb","0 lb","0"
"57","Athlete: Joseph Weigel","57 (1166)","Central East","none","CrossFit Cadre","Male","23","6'0""","200 lb","2:15","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","570 lb","450 lb","0","Athlete: Ryan Swobody","117 (1739)","North West","CrossFit Marysville","CrossFit Marysville","Male","29","5'10""","176 lb","2:18","7:14","1:56","17:11","445","0:56","20:05","290 lb","225 lb","485 lb","445 lb","62","Athlete: Alex Ranieri","177 (2322)","Australia","Crossfit North Head","CrossFit North Head","Male","27","192 cm","104 kg","3:11","0:00","1:34","--","--","1:02","0:00","135 kg","105 kg","230 kg","190 kg","38","Athlete: Chris Morse","237 (2756)","Northern California","CrossFit West","CrossFit West","Male","31","6'0""","205 lb","2:14","7:36","1:50","0:00","--","1:06","0:00","--","220 lb","445 lb","385 lb","59"
"58","Athlete: Desmond Bittner","58 (1202)","Northern California","Delta CrossFit","Delta CrossFit","Male","31","5'10""","185 lb","0:00","0:00","1:37","0:00","0","1:02","19:17","265 lb","205 lb","501 lb","375 lb","60","Athlete: Pascal Baillargeon","118 (1763)","Canada East","CrossFit St-Jean","CrossFit St-Jean","Male","20","5'11""","195 lb","2:26","--","1:50","--","--","--","20:00","315 lb","245 lb","505 lb","405 lb","--","Athlete: Zach Moehle","178 (2333)","North Central","none","NKC CrossFit","Male","26","5'9""","195 lb","2:19","7:46","1:34","19:25","0","0:00","22:53","305 lb","245 lb","545 lb","415 lb","40","Athlete: Taylor Domengeaux","238 (2759)","South Central","none","River Parish CrossFit","Male","24","5'8""","165 lb","2:15","7:20","0:00","0:00","473","0:00","19:08","275 lb","225 lb","450 lb","365 lb","--"
"59","Athlete: Irving Hernandez","59 (1242)","South East","CrossFit Paragon","CrossFit Paragon","Male","25","5'0""","155 lb","1:52","7:31","0:00","14:41","481","0:00","0:00","305 lb","225 lb","475 lb","475 lb","115","Athlete: Ken Battiston","119 (1779)","Central East","Infinity","CrossFit Tipp City","Male","25","6'0""","205 lb","2:19","0:00","0:00","0:00","399","0:00","0:00","335 lb","275 lb","545 lb","455 lb","--","Athlete: Gavin Vansaghi","179 (2358)","North Central","Team Trilogy","CrossFit Trilogy","Male","28","5'9""","185 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Michael Cazayoux","239 (2762)","South West","Hacks Pack UTE","Ute CrossFit Sugarhouse","Male","22","5'9""","190 lb","2:02","7:10","0:00","16:50","450","0:56","19:00","305 lb","225 lb","500 lb","425 lb","0"
"60","Athlete: Henry Lopez","60 (1249)","Southern California","Invictus","CrossFit Invictus","Male","27","5'4""","157 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Reiny Parrado","120 (1792)","South East","none","CrossFit Siege","Male","23","5'5""","160 lb","2:11","7:25","2:21","19:20","--","0:58","23:45","275 lb","225 lb","475 lb","405 lb","--","Athlete: Brice Collier","180 (2363)","North Central","Koda CrossFit","Koda CrossFit","Male","27","5'11""","195 lb","2:10","7:36","1:30","16:46","469","0:59","0:00","275 lb","225 lb","545 lb","440 lb","57","Athlete: John DeMartino","240 (2765)","North East","Bell City CrossFit","Bell City CrossFit","Male","26","5'9""","180 lb","3:25","8:15","2:02","0:00","453","0:00","0:00","250 lb","205 lb","427 lb","365 lb","--"
